PARL_ROW_ID,MYNETA_ROW_ID,match_score,name_score,party_score,review_priority
7,851,0.9750000000000001,1.0,0.75,P2
16,9941,0.9790697674418605,0.9767441860465116,1.0,P2
23,1599,0.9823529411764705,0.9803921568627451,1.0,P1
32,4199,0.9666666666666666,0.9629629629629629,1.0,P3
67,4557,0.9571428571428571,0.9523809523809523,1.0,P3
126,8580,0.9400000000000001,0.9333333333333333,1.0,P4
149,9675,0.9742857142857143,0.9714285714285714,1.0,P2
154,1699,0.9470588235294117,0.9411764705882353,1.0,P4
200,5025,0.9857142857142858,1.0,0.8571428571428571,P1
211,9970,0.9756756756756757,0.972972972972973,1.0,P2
361,8935,0.964,0.96,1.0,P3
400,1149,0.9750000000000001,1.0,0.75,P2
487,10507,0.9742857142857143,0.9714285714285714,1.0,P2
500,7766,0.9816326530612245,0.9795918367346939,1.0,P1
506,10593,0.9653846153846154,0.9615384615384616,1.0,P3
509,8902,0.9830188679245283,0.9811320754716981,1.0,P1
527,7845,0.9400000000000001,0.9333333333333333,1.0,P4
600,6800,0.9448979591836735,0.9387755102040817,1.0,P4
636,5848,0.9769230769230769,0.9743589743589743,1.0,P2
651,2619,0.9750000000000001,1.0,0.75,P2
750,3773,0.9571428571428571,0.9523809523809523,1.0,P3
754,5205,0.9571428571428571,0.9523809523809523,1.0,P3
759,2372,0.9750000000000001,1.0,0.75,P2
808,3835,0.9526315789473684,0.9473684210526315,1.0,P3
813,4312,0.9780487804878049,0.975609756097561,1.0,P2
814,8791,0.9666666666666666,0.9629629629629629,1.0,P3
862,4207,0.9780487804878049,0.975609756097561,1.0,P2
864,10263,0.9526315789473684,0.9473684210526315,1.0,P3
879,6249,0.9727272727272728,0.9696969696969697,1.0,P2
881,4802,0.9666666666666666,0.9629629629629629,1.0,P3
893,4133,0.9709677419354839,0.967741935483871,1.0,P2
896,5855,0.9666666666666666,0.9629629629629629,1.0,P3
924,3767,0.9689655172413794,0.9655172413793104,1.0,P3
929,8514,0.9666666666666666,0.9629629629629629,1.0,P3
989,5104,0.964,0.96,1.0,P3
1000,6461,0.9666666666666666,0.9629629629629629,1.0,P3
1027,1156,0.9750000000000001,1.0,0.75,P2
1050,4196,0.9869565217391305,0.9855072463768116,1.0,P1
1056,4641,0.9608695652173913,0.9565217391304348,1.0,P3
1146,9992,0.9756756756756757,0.972972972972973,1.0,P2
1151,6788,0.9742857142857143,0.9714285714285714,1.0,P2
1153,9975,0.9769230769230769,0.9743589743589743,1.0,P2
1155,2959,0.9750000000000001,1.0,0.75,P2
1184,8746,0.9470588235294117,0.9411764705882353,1.0,P4
1277,10704,0.9709677419354839,0.967741935483871,1.0,P2
1299,6864,0.9653846153846154,0.9615384615384616,1.0,P3
1310,4020,0.9742857142857143,0.9714285714285714,1.0,P2
1336,6358,0.9571428571428571,0.9523809523809523,1.0,P3
1339,3670,0.9666666666666666,0.9629629629629629,1.0,P3
1347,5583,0.9709677419354839,0.967741935483871,1.0,P2
1348,4496,0.9689655172413794,0.9655172413793104,1.0,P3
1356,10860,0.9571428571428571,0.9523809523809523,1.0,P3
1374,7494,0.9709677419354839,0.967741935483871,1.0,P2
1378,9363,0.9666666666666666,0.9629629629629629,1.0,P3
1382,10083,0.9727272727272728,0.9696969696969697,1.0,P2
1410,5527,0.9689655172413794,0.9655172413793104,1.0,P3
1438,3936,0.964,0.96,1.0,P3
1558,5431,0.9750000000000001,1.0,0.75,P2
1597,3789,0.97,0.9666666666666667,1.0,P2
1643,8103,0.9470588235294117,0.9411764705882353,1.0,P4
1660,37,0.9750000000000001,1.0,0.75,P2
1724,9652,0.964,0.96,1.0,P3
1726,3990,0.94375,0.9375,1.0,P4
1777,7152,0.9808510638297872,0.9787234042553191,1.0,P1
1778,6465,0.9625,0.9583333333333334,1.0,P3
1779,6928,0.9891566265060241,0.9879518072289156,1.0,P1
1781,9508,0.9785714285714285,0.9761904761904762,1.0,P2
1782,8896,0.9625,0.9583333333333334,1.0,P3
1784,3436,0.98,0.9777777777777777,1.0,P1
1787,6473,0.9400000000000001,0.9333333333333333,1.0,P4
1788,9510,0.95,0.9444444444444444,1.0,P3
1789,9395,0.98,0.9777777777777777,1.0,P1
1806,9698,0.9608695652173913,0.9565217391304348,1.0,P3
1837,8786,0.9873239436619718,0.9859154929577465,1.0,P1
1910,10165,0.9742857142857143,0.9714285714285714,1.0,P2
1948,9012,0.9470588235294117,0.9411764705882353,1.0,P4
1980,9038,0.9742857142857143,0.9714285714285714,1.0,P2
1996,10532,0.9750000000000001,1.0,0.75,P2
2007,5956,0.9857142857142858,1.0,0.8571428571428571,P1
2018,6486,0.9526315789473684,0.9473684210526315,1.0,P3
2108,9007,0.9689655172413794,0.9655172413793104,1.0,P3
2118,1563,0.9526315789473684,0.9473684210526315,1.0,P3
2152,5844,0.9769230769230769,0.9743589743589743,1.0,P2
2154,6945,0.9400000000000001,0.9333333333333333,1.0,P4
2170,1382,0.9750000000000001,1.0,0.75,P2
2181,5068,0.9709677419354839,0.967741935483871,1.0,P2
2194,8596,0.9470588235294117,0.9411764705882353,1.0,P4
2195,7012,0.9689655172413794,0.9655172413793104,1.0,P3
2209,9864,0.9742857142857143,0.9714285714285714,1.0,P2
2266,9418,0.9526315789473684,0.9473684210526315,1.0,P3
2278,7537,0.9666666666666666,0.9629629629629629,1.0,P3
2284,10319,0.9847457627118644,0.9830508474576272,1.0,P1
2310,3556,0.971875,0.96875,1.0,P2
2378,6488,0.9742857142857143,0.9714285714285714,1.0,P2
2405,3445,0.9756756756756757,0.972972972972973,1.0,P2
2412,5085,0.98,0.9777777777777777,1.0,P1
2415,3916,0.9727272727272728,0.9696969696969697,1.0,P2
2418,3310,0.955,0.95,1.0,P3
2454,9724,0.9727272727272728,0.9696969696969697,1.0,P2
2470,9286,0.9625,0.9583333333333334,1.0,P3
2472,4165,0.9608695652173913,0.9565217391304348,1.0,P3
2485,10670,0.9709677419354839,0.967741935483871,1.0,P2
2544,9735,0.9836363636363636,0.9818181818181818,1.0,P1
2546,4956,0.9830188679245283,0.9811320754716981,1.0,P1
2551,8551,0.9808510638297872,0.9787234042553191,1.0,P1
2556,5337,0.9857142857142858,1.0,0.8571428571428571,P1
2557,5275,0.98,0.9777777777777777,1.0,P1
2587,5889,0.9727272727272728,0.9696969696969697,1.0,P2
2588,6755,0.9709677419354839,0.967741935483871,1.0,P2
2591,6305,0.9470588235294117,0.9411764705882353,1.0,P4
2597,6013,0.9400000000000001,0.9333333333333333,1.0,P4
2600,8470,0.9400000000000001,0.9333333333333333,1.0,P4
2603,6728,0.9608695652173913,0.9565217391304348,1.0,P3
2605,10196,0.9571428571428571,0.9523809523809523,1.0,P3
2697,8299,0.9689655172413794,0.9655172413793104,1.0,P3
